Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1000,17,13,26,39,93,6,322,0.000%,10.16922,3.95,1.31
TOTAL,1000,17,13,26,39,93,6,322,0.000%,10.16922,3.95,1.31
