timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617384973769,21,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,21,0,0
1617384973790,12,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384973803,14,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384973817,14,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384973831,15,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,15,0,0
1617384973846,13,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384973859,16,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,16,0,0
1617384973876,12,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384973888,13,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384975542,38,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,38,0,18
1617384975580,17,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,17,0,0
1617384975597,13,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384975610,11,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384975621,14,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384975635,9,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,9,0,0
1617384975644,12,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384975656,18,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,18,0,0
1617384975675,20,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,20,0,0
1617384975695,13,HTTP Request,308,Permanent Redirect,Thread Group 1-2,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
